As At Date	Active cases	Cluster name	Cluster Category
2021-11-28 00:00:00.000	10	45967 St Clement of Rome School Bulleen	Education
2021-11-11 00:00:00.000	10	Northern Bay College Goldsworthy 9-12 Campus Corio	Education
2021-10-22 00:00:00.000	10	Yarrabah School Aspendale	Education
2021-12-11 00:00:00.000	10	St.Thomas Aquinas College Tynong	Education
2021-11-24 00:00:00.000	10	45967 St Clement of Rome School Bulleen	Education
2021-11-11 00:00:00.000	10	Chairo Christian School Pakenham Campus Pakenham	Education
2021-11-26 00:00:00.000	10	45967 St Clement of Rome School Bulleen	Education
2021-11-08 00:00:00.000	10	Hamlyn Views School Hamlyn Heights	Education
2021-11-26 00:00:00.000	10	Adass Israel School Elsternwick	Education
2021-10-24 00:00:00.000	10	Catholic Regional College Melton	Education
2021-12-17 00:00:00.000	10	46327 Victory Christian College Strathdale	Education
2021-10-21 00:00:00.000	10	Yarrabah School Aspendale	Education
2021-11-09 00:00:00.000	10	Yeshivah College St Kilda East	Education
2021-11-22 00:00:00.000	10	45967 St Clement of Rome School Bulleen	Education
2021-12-17 00:00:00.000	10	45305 Lockington Consolidated School	Education
2021-12-28 00:00:00.000	10	PGL Camp Rumbug Foster North	Education
2021-09-30 00:00:00.000	10	Ilim College Glenroy Campus Hadfield	Education
2021-12-20 00:00:00.000	10	46104 Clairvaux Catholic School Belmont	Education
2021-11-01 00:00:00.000	10	Hamlyn Views School Hamlyn Heights	Education
2021-11-13 00:00:00.000	10	Gladstone Park Secondary College 29 Oct Gladstone Park	Education
2021-11-17 00:00:00.000	10	45804 St Therese's School Essendon	Education
2021-12-06 00:00:00.000	10	46328 Ilim College Inverloch Crescent Dallas	Education
2021-12-11 00:00:00.000	10	Bialik College Hawthorn	Education
2021-12-16 00:00:00.000	10	46327 Victory Christian College Strathdale	Education
2021-12-11 00:00:00.000	10	Ballarat High School Lake Gardens	Education
2021-12-11 00:00:00.000	10	Ilim College Inverloch Crescent Dallas	Education
2021-11-24 00:00:00.000	10	Adass Israel School Elsternwick	Education
2021-11-10 00:00:00.000	10	Darul Ulum College of Victoria Fawkner Oct	Education
2021-11-23 00:00:00.000	10	Adass Israel School Elsternwick	Education
2021-12-15 00:00:00.000	10	45350 Ballarat High School Lake Gardens	Education
2021-11-23 00:00:00.000	10	50681 Broadmeadows Special Developmental School Broadmeadows	Education
2021-12-11 00:00:00.000	10	Marymede Catholic College South Morang	Education
2021-12-12 00:00:00.000	10	46306 King's College Warrnambool	Education
2021-12-13 00:00:00.000	10	46306 King's College Warrnambool	Education
2021-10-23 00:00:00.000	10	Yarrabah School Aspendale	Education
2021-12-09 00:00:00.000	10	Red Hill Consolidated School Red Hill	Education
2021-12-09 00:00:00.000	10	Gilson College Taylors Hill	Education
2021-12-08 00:00:00.000	10	46239 Gilson College Taylors Hill	Education
2021-12-09 00:00:00.000	10	Mount Ridley College Craigieburn	Education
2021-12-14 00:00:00.000	10	50722 Chairo Christian School Leongatha Campus Leongatha	Education
2021-12-13 00:00:00.000	10	45350 Ballarat High School Lake Gardens	Education
